nuts3,under_20,between_20_64,over_64
AL011,29897,62959,16729
AL012,66842,178378,46105
AL013,19868,40965,11935
AL014,28043,69084,20156
AL015,44214,119305,29490
AL021,61611,154401,43100
AL022,204911,576751,137849
AL031,26183,70146,18721
AL032,63043,170586,44784
AL033,11678,33754,9846
AL034,45230,121892,30181
AL035,37765,116861,30329
AT111,6275,21826,9423
AT112,30099,97457,35324
AT113,16395,57123,23661
AT121,51590,148701,47873
AT122,51279,157225,54980
AT123,31133,95251,31682
AT124,38408,126817,50425
AT125,22508,74988,28776
AT126,67698,202957,67346
AT127,68650,209593,70916
AT130,371562,1240145,319886
AT211,52324,175659,64962
AT212,21950,71782,29737
AT213,27147,87112,33840
AT221,83404,288445,81193
AT222,14271,46456,18882
AT223,25800,91347,40226
AT224,50065,159622,56443
AT225,35431,120059,42781
AT226,17215,57360,23922
AT311,59093,178835,55213
AT312,120097,369196,112705
AT313,45129,127376,39152
AT314,31250,93168,32175
AT315,48246,144827,48678
AT321,3810,11982,4367
AT322,34171,103295,32886
AT323,72280,227228,72587
AT331,6221,20228,6835
AT332,58235,196896,58372
AT333,9627,28922,10269
AT334,22095,65697,18245
AT335,51919,160987,49554
AT341,19751,56325,17217
AT342,65666,187558,55157
BE100,303175,765320,160160
BE211,246892,615413,204812
BE212,76321,202846,72395
BE213,97833,274988,99127
BE223,41717,120434,45285
BE224,87173,247810,90779
BE225,52389,149035,54291
BE231,64573,172315,61855
BE232,43471,118321,42586
BE233,17669,50390,19517
BE234,119700,339341,110048
BE235,27491,72118,26391
BE236,59406,147753,52524
BE241,159168,372502,124729
BE242,108369,301460,107728
BE251,51800,158524,73673
BE252,11231,29726,11035
BE253,23295,60123,23902
BE254,64078,168460,63641
BE255,28043,85806,44490
BE256,33541,89847,33038
BE257,20186,54473,19869
BE258,9249,31460,21332
BE310,93468,235237,81914
BE323,58502,152400,49448
BE328,50752,130352,44844
BE329,32091,82287,27536
BE32A,28765,75793,24937
BE32B,94193,228921,74617
BE32C,24717,62112,19857
BE32D,20306,52982,19255
BE331,26115,67606,21361
BE332,141068,365124,121875
BE334,18638,48687,15763
BE335,49230,120848,40733
BE336,17130,46087,15822
BE341,15298,39547,10092
BE342,12643,30045,8208
BE343,12861,34174,11353
BE344,15990,37416,11952
BE345,13265,31802,9754
BE351,25622,65830,22425
BE352,72455,188511,60732
BE353,14692,39344,13797
BG311,13095,42320,23399
BG312,22622,67511,32046
BG313,29023,87061,37616
BG314,43191,125106,60003
BG315,21876,65515,32389
BG321,39132,132203,54339
BG322,16266,57036,30102
BG323,36161,123204,49719
BG324,19952,63723,24089
BG325,19445,59572,25852
BG331,93756,284267,90591
BG332,31700,97507,38107
BG333,31440,100307,37676
BG334,21246,63030,23841
BG341,83132,242049,83523
BG342,44248,99278,36532
BG343,23128,63092,28141
BG344,61320,176288,69532
BG411,255443,825370,226626
BG412,42484,136681,54442
BG413,58126,179868,60257
BG414,19481,68778,29764
BG415,18541,63402,31497
BG421,130237,395397,137273
BG422,42415,126466,51388
BG423,50116,144883,52361
BG424,15260,58177,25881
BG425,29337,96496,35191
CH011,179789,506501,136678
CH012,68414,213030,71765
CH013,107378,317976,84094
CH021,199744,621199,226530
CH022,72292,203367,54150
CH023,53622,169413,57210
CH024,36347,105216,34603
CH025,15160,42536,16102
CH031,34337,122872,38827
CH032,56267,170238,66312
CH033,142961,430594,129531
CH040,310609,984746,269307
CH051,7889,24747,8554
