STRUCTURE,STRUCTURE_ID,freq,unit,wstatus,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT,2020,152.3,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT1,2020,45.9,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT11,2020,7.4,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT111,2020,0.8,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT112,2020,4.4,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT113,2020,2.2,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT12,2020,37.3,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT121,2020,8.3,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT122,2020,4.3,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT123,2020,3.1,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT124,2020,10.3,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT125,2020,3.7,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT126,2020,5.2,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT127,2020,2.5,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT13,2020,1.2,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT130,2020,1.2,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT2,2020,49.2,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT21,2020,15.3,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT211,2020,4,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT212,2020,4.6,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT213,2020,6.7,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT22,2020,33.9,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT221,2020,4.6,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT222,2020,2.4,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT223,2020,2.5,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT224,2020,13.8,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT225,2020,7.3,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT226,2020,3.4,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT3,2020,57.2,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT31,2020,28.5,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT311,2020,7.5,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT312,2020,5.2,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT313,2020,8.2,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT314,2020,3.5,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT315,2020,4.1,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT32,2020,10.3,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT321,2020,1,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT322,2020,4.7,
dataflow,ESTAT:NAMA_10R_3EMPERS(1.0),A,THS,EMP,A,AT323,2020,4.6,
