nuts3,Agriculture,Industry,Construction,"Wholesale, retail trade, transport, accomodation and food service",Information and communication,"Finance, insurance",Real estate,"Professional, scientific and technical, administrative","Public administration, defence, education, health, social","Arts, entertainment, other service"
AT111,0.13191099982684018,0.41222187445887554,0.3462663745454555,0.03890897016742744,0.002871611188751914,0.0026573332140095154,0.0013358806302520702,0.01575385596092432,0.03990271805372045,0.008170381953743111
AT112,0.2214984910795448,0.44803103877453376,0.2970093403112078,0.011878915870766076,0.0008767034331145321,0.0008112843273409756,0.0004078446063174103,0.004809655171923554,0.012182307286350455,0.0024944191389005047
AT113,0.1750937826111965,0.46161088142951806,0.3103935237198484,0.018780482909797003,0.0013860619960351652,0.0012826348473525097,0.0006447994700970169,0.007604031187780591,0.019260142615897282,0.003943659212477473
AT121,0.18175967175409036,0.6065955310347352,0.19708880069720636,0.00516747219411616,0.0003813766056088213,0.00035291850272076744,0.00017741734057163204,0.002092258219065838,0.0052994511323477276,0.00108510251953727
AT122,0.12023029925933629,0.6235199240658603,0.2376645450475252,0.006597876522092337,0.0004869451944195884,0.0004506096241726558,0.0002265281092953894,0.0026714147388054443,0.006766388456991616,0.00138546898150126
AT123,0.14442320188111785,0.51712823899368,0.3074816556178637,0.010993449514671903,0.0008113530759993998,0.0007508103762748841,0.00037744345849067266,0.004451138630053476,0.011274225828495282,0.0023084826233528656
AT124,0.297991923761877,0.4542206993263561,0.22855691239988624,0.006826938337730584,0.000503850716973184,0.0004662536663597812,0.00023439260021675728,0.0027641595951762173,0.0070013005866870455,0.001433569008737373
AT125,0.3041588758623783,0.3945844876052475,0.24661530475327972,0.01939802351195878,0.0014316385429097185,0.0013248104985214449,0.0006660017924733807,0.00785406725027765,0.01989345540800543,0.0040733347749479
AT126,0.15822450131740615,0.5081440715385928,0.3134062237633237,0.007180077021157616,0.0005299135243450201,0.0004903716820405927,0.0002465170826934951,0.002907141944207835,0.007363458548154945,0.0015077235780776895
AT127,0.06255521257036341,0.6030322491783032,0.31778047985744606,0.005904487487260142,0.00043577078137257063,0.0004032538163843506,0.00020272164572476153,0.002390668398498155,0.006055290038313531,0.001239866226333533
AT130,0.009633548242697045,0.5282395619745547,0.45679074584121815,0.0018943653507471666,0.0001398104527922842,0.0001293778772439318,6.504016857280727e-05,0.0007670097343779152,0.001942748064426586,0.00039779229336935794
AT211,0.12134193817384238,0.5915419485974817,0.26695226398245325,0.0071582959096079994,0.0005283060059923063,0.0004888841157824835,0.0002457692611783204,0.002898322988256419,0.007341121139857551,0.0015031498255478313
AT212,0.2664396887297758,0.40545170024096316,0.28960835731497375,0.013667837193014053,0.001008731766495215,0.0009334607824464096,0.0004692645136845962,0.005533971665391524,0.01401691824713368,0.002870069546121949
AT213,0.2448410247185282,0.5591145788348479,0.17175415166822125,0.008623192809933743,0.0006364202611689946,0.0005889309474407001,0.0002960642801942618,0.0034914452083005722,0.008843431988485492,0.0018107592828789665
AT221,0.07146775091154269,0.677389986900709,0.2408152476367199,0.003666156452391488,0.0002705745190145311,0.00025038440407890454,0.00012587193572970496,0.001484390371491744,0.0037597912931417433,0.0007698455751803506
AT222,0.1880185913610655,0.579723990029952,0.18018448338768775,0.018486226247981956,0.0013643448773656957,0.001262538247583357,0.0006346966127571834,0.007484889585064582,0.018958370542226096,0.003881869108315964
AT223,0.08813773556769483,0.7403569787686366,0.14807139575372733,0.008319181334881267,0.0006139832048934601,0.000568168131395436,0.000285626506098741,0.0033683539784932553,0.008531655960440681,0.0017469207937385123
AT224,0.26814498680250837,0.4857699036277325,0.2331695537413116,0.004585105221137687,0.00033839598935584846,0.00031314507532398167,0.0001574226515435541,0.0018564636100277707,0.004702210315472747,0.0009628129655859656
