STRUCTURE,STRUCTURE_ID,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,AT,2021,75.6,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,AT,2022,77.3,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,AT1,2021,73.2,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,AT1,2022,74.6,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,AT11,2021,74.9,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,AT11,2022,76.5,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,AT12,2021,77.5,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,AT12,2022,78.5,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,AT13,2021,69.4,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,AT13,2022,71.2,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,AT2,2021,75.2,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,AT2,2022,77.0,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,AT21,2021,73.7,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,AT21,2022,75.8,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,AT22,2021,75.9,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,AT22,2022,77.6,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,AT3,2021,78.7,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,AT3,2022,80.7,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,AT31,2021,79.3,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,AT31,2022,80.8,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,AT32,2021,78.7,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,AT32,2022,80.7,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,AT33,2021,77.1,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,AT33,2022,80.9,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,AT34,2021,79.1,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,AT34,2022,79.8,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE,2021,70.6,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE,2022,71.9,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE1,2021,62.2,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE1,2022,65.2,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE10,2021,62.2,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE10,2022,65.2,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE2,2021,75.3,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE2,2022,76.7,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE21,2021,72.7,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE21,2022,75.9,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE22,2021,73.0,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE22,2022,75.0,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE23,2021,79.2,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE23,2022,80.0,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE24,2021,74.3,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE24,2022,73.8,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE25,2021,77.0,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE25,2022,78.0,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE3,2021,65.2,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE3,2022,65.7,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE31,2021,72.2,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE31,2022,74.7,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE32,2021,61.1,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE32,2022,61.4,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE33,2021,65.1,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE33,2022,64.8,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE34,2021,72.3,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE34,2022,72.5,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE35,2021,66.5,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BE35,2022,67.5,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG,2021,73.2,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG,2022,75.7,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG3,2021,70.5,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG3,2022,73.1,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG31,2021,64.2,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG31,2022,66.7,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG32,2021,71.7,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG32,2022,73.2,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG33,2021,72.8,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG33,2022,76.4,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG34,2021,71.5,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG34,2022,74.2,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG4,2021,75.7,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG4,2022,78.1,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG41,2021,78.9,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG41,2022,81.7,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG42,2021,70.7,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,BG42,2022,72.7,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CH,2021,81.8,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CH,2022,81.9,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CH0,2021,81.8,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CH0,2022,81.9,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CH01,2021,76.0,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CH01,2022,76.2,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CH02,2021,83.7,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CH02,2022,83.4,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CH03,2021,82.2,b
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CH03,2022,82.1,
dataflow,ESTAT:LFST_R_LFE2EMPRT(1.0),A,PC,T,Y20-64,CH04,2021,83.6,b
