age,nuts2,employment_rate
Y20-64,AT11,76.5
Y20-64,AT12,78.5
Y20-64,AT13,71.2
Y20-64,AT21,75.8
Y20-64,AT22,77.6
Y20-64,AT31,80.8
Y20-64,AT32,80.7
Y20-64,AT33,80.9
Y20-64,AT34,79.8
Y20-64,BE10,65.2
Y20-64,BE21,75.9
Y20-64,BE22,75.0
Y20-64,BE23,80.0
Y20-64,BE24,73.8
Y20-64,BE25,78.0
Y20-64,BE31,74.7
Y20-64,BE32,61.4
Y20-64,BE33,64.8
Y20-64,BE34,72.5
Y20-64,BE35,67.5
Y20-64,BG31,66.7
Y20-64,BG32,73.2
Y20-64,BG33,76.4
Y20-64,BG34,74.2
Y20-64,BG41,81.7
Y20-64,BG42,72.7
Y20-64,CH01,76.2
Y20-64,CH02,83.4
Y20-64,CH03,82.1
Y20-64,CH04,83.7
Y20-64,CH05,83.8
Y20-64,CH06,86.3
Y20-64,CH07,73.8
Y20-64,CY00,77.9
Y20-64,CZ01,84.4
Y20-64,CZ02,83.5
Y20-64,CZ03,82.3
Y20-64,CZ04,79.2
Y20-64,CZ05,80.9
Y20-64,CZ06,81.3
Y20-64,CZ07,80.1
Y20-64,CZ08,78.5
Y20-64,DE11,82.7
Y20-64,DE12,81.5
Y20-64,DE13,83.7
Y20-64,DE14,84.3
Y20-64,DE21,84.0
Y20-64,DE22,84.8
Y20-64,DE23,83.8
Y20-64,DE24,82.1
Y20-64,DE25,81.8
Y20-64,DE26,82.1
Y20-64,DE27,84.0
Y20-64,DE30,79.0
Y20-64,DE40,82.1
Y20-64,DE50,74.2
Y20-64,DE60,79.2
Y20-64,DE71,78.5
Y20-64,DE72,78.8
Y20-64,DE73,79.7
Y20-64,DE80,79.1
Y20-64,DE91,79.3
Y20-64,DE92,80.6
Y20-64,DE93,82.5
Y20-64,DE94,81.2
Y20-64,DEA1,77.3
Y20-64,DEA2,78.9
Y20-64,DEA3,78.9
Y20-64,DEA4,79.6
Y20-64,DEA5,78.0
Y20-64,DEB1,81.5
Y20-64,DEB2,83.3
Y20-64,DEB3,78.4
Y20-64,DEC0,78.2
Y20-64,DED2,83.1
Y20-64,DED4,83.7
Y20-64,DED5,83.3
Y20-64,DEE0,79.9
Y20-64,DEF0,80.7
Y20-64,DEG0,82.1
Y20-64,DK01,82.0
Y20-64,DK02,78.9
Y20-64,DK03,78.8
Y20-64,DK04,80.0
Y20-64,DK05,78.5
Y20-64,EE00,81.9
Y20-64,EL30,69.3
Y20-64,EL41,67.3
Y20-64,EL42,64.4
Y20-64,EL43,68.8
Y20-64,EL51,62.8
Y20-64,EL52,63.6
Y20-64,EL53,58.8
Y20-64,EL54,63.5
Y20-64,EL61,64.8
Y20-64,EL62,64.0
Y20-64,EL63,62.4
Y20-64,EL64,66.6
Y20-64,EL65,68.3
Y20-64,ES11,69.2
Y20-64,ES12,64.4
Y20-64,ES13,70.2
