STRUCTURE,STRUCTURE_ID,freq,unit,direct,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,AT,2020,26900,
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,AT1,2020,26600,
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,AT11,2020,26400,
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,AT12,2020,28100,
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,AT13,2020,25400,
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,AT2,2020,25700,
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,AT21,2020,24900,
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,AT22,2020,26100,
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,AT3,2020,28000,
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,AT31,2020,27700,
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,AT32,2020,28000,
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,AT33,2020,27500,
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,AT34,2020,30300,
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,BE,2020,26100,p
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,BE1,2020,23800,p
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,BE10,2020,23800,p
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,BE2,2020,28300,p
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,BE21,2020,27500,p
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,BE22,2020,25200,p
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,BE23,2020,29100,p
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,BE24,2020,32800,p
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,BE25,2020,26600,p
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,BE3,2020,22800,p
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,BE31,2020,30600,p
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,BE32,2020,20300,p
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,BE33,2020,22000,p
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,BE34,2020,24700,p
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,BE35,2020,24200,p
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,BG,2020,5200,
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,BG3,2020,3700,
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,BG31,2020,3400,
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,BG32,2020,4000,
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,BG33,2020,3800,
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,BG34,2020,3800,
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,BG4,2020,6700,
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,BG41,2020,8500,
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,BG42,2020,4000,
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,CY,2020,15900,
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,CY,2021,16600,p
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,CY0,2020,15900,
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,CY0,2021,16600,p
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,CY00,2020,15900,
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,CY00,2021,16600,p
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,CZ,2020,12100,
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,CZ,2021,13200,
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,CZ0,2020,12100,
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,CZ0,2021,13200,
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,CZ01,2020,16400,
dataflow,ESTAT:NAMA_10R_2HHINC(1.0),A,EUR_HAB,BAL,B5N,CZ01,2021,19000,
