nuts2,household_income
AT11,25400.0
AT12,26350.0
AT13,23700.0
AT21,23950.0
AT22,24750.0
AT31,25750.0
AT32,26000.0
AT33,25400.0
AT34,27500.0
BE10,22250.0
BE21,25200.0
BE22,23700.0
BE23,26100.0
BE24,29100.0
BE25,25000.0
BE31,27350.0
BE32,20100.0
BE33,21150.0
BE34,23000.0
BE35,22450.0
BG31,3650.0
BG32,4100.0
BG33,3900.0
BG34,3900.0
BG41,8000.0
BG42,4050.0
CY00,15850.0
CZ01,14900.0
CZ02,11600.0
CZ03,10900.0
CZ04,10150.0
CZ05,10700.0
CZ06,11100.0
CZ07,10200.0
CZ08,10100.0
DE11,29650.0
DE12,27900.0
DE13,28000.0
DE14,28500.0
DE21,33750.0
DE22,26600.0
DE23,26600.0
DE24,25850.0
DE25,27950.0
DE26,26850.0
DE27,27450.0
DE30,23850.0
DE40,22850.0
DE50,23600.0
DE60,29200.0
DE71,29150.0
DE72,24500.0
DE73,24150.0
DE80,21050.0
DE91,25350.0
DE92,24900.0
DE93,25450.0
DE94,23950.0
DEA1,25500.0
DEA2,26350.0
DEA3,24350.0
DEA4,25600.0
DEA5,24450.0
DEB1,25200.0
DEB2,25150.0
DEB3,26300.0
DEC0,22950.0
DED2,21700.0
DED4,21150.0
DED5,21750.0
DEE0,20700.0
DEF0,26050.0
DEG0,20900.0
DK01,30900.0
DK02,27050.0
DK03,25950.0
DK04,27000.0
DK05,25850.0
EE00,11450.0
EL30,12300.0
EL41,8700.0
EL42,10350.0
EL43,9350.0
EL51,8550.0
EL52,9600.0
EL53,10250.0
EL54,9400.0
EL61,9000.0
EL62,11200.0
EL63,8650.0
EL64,8800.0
EL65,9300.0
ES11,14300.0
ES12,15100.0
ES13,15050.0
ES21,19850.0
ES22,17850.0
ES23,16000.0
ES24,16800.0
ES30,20400.0
ES41,15300.0
ES42,13200.0
ES43,12000.0
ES51,17800.0
ES52,13850.0
ES53,14600.0
ES61,12150.0
ES62,13000.0
ES63,13550.0
ES64,12650.0
ES70,11950.0
FI19,21950.0
FI1B,27300.0
FI1C,22300.0
FI1D,21100.0
FI20,25900.0
FR10,28050.0
FRB0,19700.0
FRC1,20400.0
FRC2,19050.0
FRD1,19900.0
FRD2,20150.0
FRE1,18550.0
FRE2,19200.0
FRF1,20800.0
FRF2,19550.0
FRF3,19100.0
FRG0,20650.0
FRH0,19800.0
FRI1,20450.0
FRI2,20050.0
FRI3,19500.0
FRJ1,18450.0
FRJ2,21250.0
FRK1,19950.0
FRK2,22450.0
FRL0,21550.0
FRM0,19600.0
FRY1,16700.0
FRY2,19450.0
FRY3,11700.0
FRY4,16700.0
FRY5,7300.0
HR02,6300.0
HR03,7550.0
HR05,10600.0
HR06,7550.0
HU11,12000.0
HU12,8150.0
HU21,7900.0
HU22,7450.0
HU23,6500.0
HU31,6050.0
HU32,6400.0
HU33,6850.0
IE04,18950.0
IE05,22800.0
IE06,26550.0
ITC1,20650.0
ITC2,19200.0
ITC3,19900.0
ITC4,23250.0
ITF1,15400.0
ITF2,14100.0
ITF3,12600.0
ITF4,13400.0
ITF5,13850.0
ITF6,12200.0
ITG1,12800.0
ITG2,14550.0
ITH1,25350.0
ITH2,20400.0
ITH3,20000.0
ITH4,20300.0
ITH5,22250.0
ITI1,19050.0
ITI2,17550.0
ITI3,18050.0
ITI4,19600.0
LT01,13900.0
LT02,10400.0
LU00,39100.0
LV00,9450.0
NL11,22800.0
NL12,23000.0
NL13,23600.0
NL21,23800.0
NL22,24950.0
NL23,24700.0
NL31,28950.0
NL32,27950.0
NL33,25700.0
NL34,24150.0
NL41,26000.0
NL42,23750.0
PL21,8300.0
PL22,9050.0
PL41,9000.0
PL42,8250.0
PL43,7400.0
PL51,9100.0
PL52,7500.0
PL61,7550.0
PL62,7300.0
PL63,8450.0
PL71,8650.0
PL72,7200.0
PL81,7200.0
PL82,6650.0
PL84,7100.0
PL91,13650.0
PL92,8400.0
PT11,10950.0
PT15,13950.0
PT16,11450.0
PT17,14700.0
PT18,12050.0
PT20,12050.0
PT30,11200.0
RO11,6450.0
RO12,6450.0
RO21,4700.0
RO22,5250.0
RO31,5150.0
RO32,13150.0
RO41,5200.0
RO42,7000.0
SE11,29100.0
SE12,22200.0
SE21,21600.0
SE22,22850.0
SE23,23850.0
SE31,21100.0
SE32,21600.0
SE33,22450.0
SI03,13350.0
SI04,14100.0
SK01,17750.0
SK02,9650.0
SK03,9700.0
SK04,8200.0
