STRUCTURE,STRUCTURE_ID,freq,unit,indic_il,deg_urb,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,AT,2021,25640,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,AT,2022,25189,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,BE,2021,23396,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,BE,2022,24589,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,BG,2021,6081,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,BG,2022,6445,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,CH,2021,45856,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,CY,2021,18211,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,CY,2022,19520,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,CZ,2021,11645,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,CZ,2022,13022,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,DE,2021,24360,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,DE,2022,24800,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,DK,2021,32213,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,DK,2022,33070,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,EA,2021,20914,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,EA19,2021,20914,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,EA20,2021,20804,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,EA20,2022,21458,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,EE,2021,13377,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,EE,2022,15831,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,EL,2021,9667,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,EL,2022,10147,
dataflow,ESTAT:ILC_DI17(1.0),A,EUR,MED_E,DEG1,T,TOTAL,ES,2021,17210,
