Jahr;Vart;GesV;Q/Z-V;BinV;Quelle
1997;Fuß;28;4;32;Stadt Konstanz, Amt für Stadtplanung und Umwelt
1997;Rad;23;14;24;Stadt Konstanz, Amt für Stadtplanung und Umwelt
1997;ÖV;10;12;10;Stadt Konstanz, Amt für Stadtplanung und Umwelt
1997;MIV;39;70;34;Stadt Konstanz, Amt für Stadtplanung und Umwelt
1997;Alle;100;86;14;Stadt Konstanz, Amt für Stadtplanung und Umwelt
2007;Fuß;26;8;29;Stadt Konstanz, Amt für Stadtplanung und Umwelt
2007;Rad;22;8;24;Stadt Konstanz, Amt für Stadtplanung und Umwelt
2007;ÖV;11;10;11;Stadt Konstanz, Amt für Stadtplanung und Umwelt
2007;MIV;41;74;36;Stadt Konstanz, Amt für Stadtplanung und Umwelt
2007;Alle;100;84;16;Stadt Konstanz, Amt für Stadtplanung und Umwelt
2018;Fuß;27;4;30;Stadt Konstanz, Amt für Stadtplanung und Umwelt
2018;Rad;30;12;34;Stadt Konstanz, Amt für Stadtplanung und Umwelt
2018;ÖV;12;22;11;Stadt Konstanz, Amt für Stadtplanung und Umwelt
2018;MIV;31;63;25;Stadt Konstanz, Amt für Stadtplanung und Umwelt
2018;Alle;100;84;16;Stadt Konstanz, Amt für Stadtplanung und Umwelt
