STRUCTURE,STRUCTURE_ID,freq,vehicle,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:TRAN_R_VEHST(1.0),A,BUS_TOT,NR,AT11,2020,312,
dataflow,ESTAT:TRAN_R_VEHST(1.0),A,BUS_TOT,NR,AT11,2021,298,
dataflow,ESTAT:TRAN_R_VEHST(1.0),A,BUS_TOT,NR,AT12,2020,1060,
dataflow,ESTAT:TRAN_R_VEHST(1.0),A,BUS_TOT,NR,AT12,2021,1062,
dataflow,ESTAT:TRAN_R_VEHST(1.0),A,BUS_TOT,NR,AT13,2020,3999,
dataflow,ESTAT:TRAN_R_VEHST(1.0),A,BUS_TOT,NR,AT13,2021,4091,
dataflow,ESTAT:TRAN_R_VEHST(1.0),A,BUS_TOT,NR,AT21,2020,389,
dataflow,ESTAT:TRAN_R_VEHST(1.0),A,BUS_TOT,NR,AT21,2021,397,
dataflow,ESTAT:TRAN_R_VEHST(1.0),A,BUS_TOT,NR,AT22,2020,1098,
dataflow,ESTAT:TRAN_R_VEHST(1.0),A,BUS_TOT,NR,AT22,2021,1068,
dataflow,ESTAT:TRAN_R_VEHST(1.0),A,BUS_TOT,NR,AT31,2020,1371,
dataflow,ESTAT:TRAN_R_VEHST(1.0),A,BUS_TOT,NR,AT31,2021,1370,
dataflow,ESTAT:TRAN_R_VEHST(1.0),A,BUS_TOT,NR,AT32,2020,492,
dataflow,ESTAT:TRAN_R_VEHST(1.0),A,BUS_TOT,NR,AT32,2021,502,
dataflow,ESTAT:TRAN_R_VEHST(1.0),A,BUS_TOT,NR,AT33,2020,1015,
dataflow,ESTAT:TRAN_R_VEHST(1.0),A,BUS_TOT,NR,AT33,2021,1016,
dataflow,ESTAT:TRAN_R_VEHST(1.0),A,BUS_TOT,NR,AT34,2020,328,
dataflow,ESTAT:TRAN_R_VEHST(1.0),A,BUS_TOT,NR,AT34,2021,332,
dataflow,ESTAT:TRAN_R_VEHST(1.0),A,BUS_TOT,NR,BE10,2020,2032,
