OBJECTID,Join_Count,TARGET_FID,BUSHALTEST,LINK_STW,DATUM,HST_ID,GKZ,Ort,Haltestelle,RegStopNo,GID,Typ,Y,X,ID_EFA,x2,y2
1,1,1,"Sonnenbühlstraße/Rauhgasse, stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6913.htm,6/17/2011 12:00:00 AM,6913,8335043,Konstanz,Konstanz Sonnenbühlst/Rauhgasse,35262,11912,|- Steig,47.68008835,9.18599243,8711912,513968.8707,5280762.3095
2,1,2,Jacob-Burkhardt/Straße Danziger Str. stadtauswärts,http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6905.htm,6/17/2011 12:00:00 AM,6905,8335043,Konstanz,Konstanz Jacob-Burckhardt-Str.,35224,11862,|- Steig,47.68209628,9.18372868,8711862,513760.3509,5280974.9582
3,1,3,"Danziger Straße, stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6907.htm,6/17/2011 12:00:00 AM,6907,8335043,Konstanz,Konstanz Danziger Straße,35194,11827,|- Steig,47.68163664,9.18095288,8711827,513585.2173,5280939.6338
4,1,4,"Salzberg (Allmannsdorfer Str), Richtung Innenstadt",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6916.htm,6/17/2011 12:00:00 AM,6916,8335043,Konstanz,Konstanz Salzberg/Allmannsdorfer Str.,35252,11899,|- Steig,47.67374353,9.1927298,8711899,514433.6559,5280067.0429
5,1,5,"Konzilstraße, Richtung Bahnhof",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6588.htm,6/17/2011 12:00:00 AM,6588,8335043,Konstanz,Konstanz Konzilstraße,35229,11868,|- Steig,47.66332037,9.17761115,8711868,513325.6607,5278904.0233
6,1,6,"Bodanplatz, Richtung Laube",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6579.htm,6/17/2011 12:00:00 AM,6579,8335043,Konstanz,Konstanz Bodanplatz,35182,11812,|- Steig,47.65820785,9.1735328,8711812,513038.9467,5278329.8509
7,1,7,"Döbele, Richtung Paradies, stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6711.htm,6/17/2011 12:00:00 AM,6711,8335043,Konstanz,Konstanz Döbele,35263,11913,|- Steig,47.65863744,9.16894241,8711913,512692.9703,5278375.8915
8,1,8,"Schulthaißstraße, stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6782.htm,6/17/2011 12:00:00 AM,6782,8335043,Konstanz,Konstanz Schulthaißstraße,35258,11905,|- Steig,47.66146298,9.16645407,8711905,512499.4086,5278680.9452
9,1,9,"Brüelstraße, stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6785.htm,6/17/2011 12:00:00 AM,6785,8335043,Konstanz,Konstanz Brüelstraße,35189,11821,|- Steig,47.66425812,9.16557373,8711821,512437.399,5279001.4257
10,1,10,"Brüelstraße, Richtung Bahnhof",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6784.htm,6/17/2011 12:00:00 AM,6784,8335043,Konstanz,Konstanz Brüelstraße,35189,11821,Haltestelle,47.66418552,9.16564559,8711821,512434.9503,5278990.0758
11,1,11,"Gottmannplatz,  stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6824.htm,6/17/2011 12:00:00 AM,6824,8335043,Konstanz,Konstanz Gottmannplatz,35216,11850,|- Steig,47.67351972,9.1693197,8711850,512718.5637,5280026.2139
12,1,12,"Taborweg, stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6890.htm,6/17/2011 12:00:00 AM,6890,8335043,Konstanz,Konstanz Taborweg,35271,11922,|- Steig,47.67951983,9.16825969,8711922,512637.8497,5280696.4816
13,1,13,"Pfeiferhölzle-Richtung Endstation, stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6909.htm,6/17/2011 12:00:00 AM,6909,8335043,Konstanz,Konstanz Pfeiferhölzle,35244,11889,Haltestelle,47.68272525,9.17592232,8711889,513201.1657,5281057.4741
14,1,14,"Gutenbergweg, stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6879.htm,6/17/2011 12:00:00 AM,6879,8335043,Konstanz,Konstanz Gutenbergweg,35218,11853,|- Steig,47.6864566,9.16120791,8711853,512094.3207,5281451.297
15,1,15,"Hardtstraße/Fürstenberg, stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6873.htm,6/17/2011 12:00:00 AM,6873,8335043,Konstanz,Konstanz Hardtstr./Fürstenberg,35220,11855,|- Steig,47.68594257,9.15293443,8711855,511484.2279,5281408.0912
16,1,16,"Reutestraße/Freibürgleweg, stadtauswärts",http://pages.i-d-e-a-s.eu/infowindows/busstop/konstanz/6852.htm,6/17/2011 12:00:00 AM,6852,8335043,Konstanz,Konstanz Reute-/ Freibürgleweg,35246,11893,Haltestelle,47.6825922,9.15246731,8711893,511450.8239,5281035.2287
