label,percent,agency
substituted,0.115%,abellio rail mitteldeutschland gmbh
-5–,,abellio rail mitteldeutschland gmbh
-4–,,abellio rail mitteldeutschland gmbh
-3–,,abellio rail mitteldeutschland gmbh
-2–,,abellio rail mitteldeutschland gmbh
-1–,,abellio rail mitteldeutschland gmbh
0–,76.7%,abellio rail mitteldeutschland gmbh
1–,4.89%,abellio rail mitteldeutschland gmbh
2–,2.82%,abellio rail mitteldeutschland gmbh
3–,2.19%,abellio rail mitteldeutschland gmbh
4–,1.55%,abellio rail mitteldeutschland gmbh
5–,1.09%,abellio rail mitteldeutschland gmbh
6–,0.920%,abellio rail mitteldeutschland gmbh
7–,0.863%,abellio rail mitteldeutschland gmbh
8–,0.518%,abellio rail mitteldeutschland gmbh
9–,0.690%,abellio rail mitteldeutschland gmbh
10–,0.403%,abellio rail mitteldeutschland gmbh
11–,1.84%,abellio rail mitteldeutschland gmbh
16–,0.575%,abellio rail mitteldeutschland gmbh
21–,0.173%,abellio rail mitteldeutschland gmbh
26–,0.115%,abellio rail mitteldeutschland gmbh
31–,0.403%,abellio rail mitteldeutschland gmbh
46–,0.0575%,abellio rail mitteldeutschland gmbh
61–,,abellio rail mitteldeutschland gmbh
76–,0.115%,abellio rail mitteldeutschland gmbh
91–,,abellio rail mitteldeutschland gmbh
cancelled,4.03%,abellio rail mitteldeutschland gmbh
substituted,0.198%,agili
-5–,,agili
-4–,,agili
-3–,,agili
-2–,,agili
-1–,,agili
0–,65.3%,agili
1–,8.93%,agili
2–,5.75%,agili
3–,2.38%,agili
4–,1.98%,agili
5–,1.98%,agili
6–,1.19%,agili
7–,0.397%,agili
8–,1.19%,agili
9–,1.19%,agili
10–,0.794%,agili
11–,0.595%,agili
16–,0.198%,agili
21–,0.595%,agili
26–,,agili
31–,0.198%,agili
46–,,agili
61–,,agili
76–,,agili
91–,,agili
cancelled,7.14%,agili
substituted,,akn eisenbahn gmbh
-5–,,akn eisenbahn gmbh
-4–,,akn eisenbahn gmbh
-3–,,akn eisenbahn gmbh
-2–,,akn eisenbahn gmbh
-1–,,akn eisenbahn gmbh
0–,85.3%,akn eisenbahn gmbh
1–,7.33%,akn eisenbahn gmbh
2–,6.81%,akn eisenbahn gmbh
3–,,akn eisenbahn gmbh
4–,,akn eisenbahn gmbh
5–,0.524%,akn eisenbahn gmbh
6–,,akn eisenbahn gmbh
7–,,akn eisenbahn gmbh
8–,,akn eisenbahn gmbh
9–,,akn eisenbahn gmbh
10–,,akn eisenbahn gmbh
11–,,akn eisenbahn gmbh
16–,,akn eisenbahn gmbh
21–,,akn eisenbahn gmbh
26–,,akn eisenbahn gmbh
31–,,akn eisenbahn gmbh
46–,,akn eisenbahn gmbh
61–,,akn eisenbahn gmbh
76–,,akn eisenbahn gmbh
91–,,akn eisenbahn gmbh
substituted,,alex - die länderbahn gmbh dlb
-5–,,alex - die länderbahn gmbh dlb
-4–,,alex - die länderbahn gmbh dlb
-3–,,alex - die länderbahn gmbh dlb
-2–,,alex - die länderbahn gmbh dlb
-1–,,alex - die länderbahn gmbh dlb
0–,71.0%,alex - die länderbahn gmbh dlb
1–,7.74%,alex - die länderbahn gmbh dlb
2–,1.94%,alex - die länderbahn gmbh dlb
3–,2.58%,alex - die länderbahn gmbh dlb
4–,0.645%,alex - die länderbahn gmbh dlb
5–,2.58%,alex - die länderbahn gmbh dlb
6–,0.645%,alex - die länderbahn gmbh dlb
7–,1.29%,alex - die länderbahn gmbh dlb
8–,1.94%,alex - die länderbahn gmbh dlb
9–,1.29%,alex - die länderbahn gmbh dlb
10–,1.29%,alex - die länderbahn gmbh dlb
11–,,alex - die länderbahn gmbh dlb
16–,0.645%,alex - die länderbahn gmbh dlb
21–,0.645%,alex - die länderbahn gmbh dlb
26–,,alex - die länderbahn gmbh dlb
31–,1.29%,alex - die länderbahn gmbh dlb
46–,,alex - die länderbahn gmbh dlb
61–,,alex - die länderbahn gmbh dlb
76–,,alex - die länderbahn gmbh dlb
91–,,alex - die länderbahn gmbh dlb
cancelled,4.52%,alex - die länderbahn gmbh dlb
substituted,,autokraft kiel gmbh
-5–,,autokraft kiel gmbh
-4–,,autokraft kiel gmbh
-3–,,autokraft kiel gmbh
-2–,,autokraft kiel gmbh
-1–,,autokraft kiel gmbh
0–,78.8%,autokraft kiel gmbh
1–,5.03%,autokraft kiel gmbh
2–,6.15%,autokraft kiel gmbh
3–,6.70%,autokraft kiel gmbh
4–,1.12%,autokraft kiel gmbh
5–,0.559%,autokraft kiel gmbh
6–,1.12%,autokraft kiel gmbh
7–,,autokraft kiel gmbh
8–,,autokraft kiel gmbh
9–,,autokraft kiel gmbh
10–,,autokraft kiel gmbh
11–,,autokraft kiel gmbh
16–,0.559%,autokraft kiel gmbh
21–,,autokraft kiel gmbh
26–,,autokraft kiel gmbh
31–,,autokraft kiel gmbh
46–,,autokraft kiel gmbh
61–,,autokraft kiel gmbh
76–,,autokraft kiel gmbh
